COMNAM_crsp	CNAME_ibes	new_ibes2	new_crsp2	id
ALIMERA SCIENCES INC	ALIMERA SCIENCES INC	ALIMERA SCIENCES	ALIMERA SCIENCES	239
ALKERMES INC	ALKERMES INC	ALKERMES	ALKERMES	240
ALLAKOS INC	ALLAKOS INC	ALLAKOS	ALLAKOS	241
ALLEGHANY CORP DE	ALLEGHANY CP DEL	ALLEGHANY CP DEL	ALLEGHANY CORP	242
ALLEGHENY ENERGY INC	ALLEGHENY ENERGY INC	ALLEGHENY ENERGY	ALLEGHENY ENERGY	243
ALLEGHENY TECHNOLOGIES	ALLEGHENY TECHNOLOGIES INC	ALLEGHENY TECHNOLOGY	ALLEGHENY TECHNOLOGY	244
ALLEGIANCE BANCSHARES INC	ALLEGIANCE BANCSHARES INC	ALLEGIANCE BANCSHARES	ALLEGIANCE BANCSHARES	245
ALLEGIANT TRAVEL CO	ALLEGIANT TRAVEL CO	ALLEGIANT TRAVEL	ALLEGIANT TRAVEL	246
ALLENA PHARMACEUTICALS INC	ALLENA PHARMACEUTICALS INC	ALLENA PHARMACEUTICALS	ALLENA PHARMACEUTICALS	247
ALLERGAN INC	ALLERGAN INC	ALLERGAN	ALLERGAN	248
ALLETE INC	ALLETE INC	ALLETE	ALLETE	249
ALLIANCE BANCORP INC PA	ALLIANCE BANCORP INC OF PENNSYLV	ALLIANCE BANK INC OF PENNSYLV	ALLIANCE BANK INC PA	250
ALLIANCE BANCORP INC PA NEW	ALLIANCE BANCORP INC OF PENNSYLV	ALLIANCE BANK INC OF PENNSYLV	ALLIANCE BANK INC PA NEW	251
ALLIANCE BANKSHARES CORP	ALLIANCE BANKSHARES CORP	ALLIANCE BANKSHARES	ALLIANCE BANKSHARES	252
ALLIANCE DATA SYSTEMS CORP	ALLIANCE DATA SYSTEMS CORP	ALLIANCE DATA SYSTEMS	ALLIANCE DATA SYSTEMS	253
ALLIANCE FIBER OPTIC PRODS INC	ALLIANCE FIBER OPTIC PRODUCTS	ALLIANCE FIBER OPTIC PRODUCTS	ALLIANCE FIBER OPTIC PRODS	254
ALLIANCE FINANCIAL CORP NY	ALLIANCE FINANCIAL CORPORATION	ALLIANCE FINANCIAL	ALLIANCE FINANCIAL CORP NY	255
ALLIANCE HEALTHCARE SERVICES INC	ALLIANCE HEALTHCARE SERVICES INC	ALLIANCE HEALTHCARE SERVICES	ALLIANCE HEALTHCARE SERVICES	256
ALLIANCE ONE INTERNATIONAL INC	ALLIANCE ONE INTERNATIONAL INC	ALLIANCE ONE INTERNATIONAL	ALLIANCE ONE INTERNATIONAL	257
ALLIANT ENERGY CORP	ALLIANT ENERGY CORP	ALLIANT ENERGY	ALLIANT ENERGY	258
ALLIANT TECHSYSTEMS INC	ALLIANT TECHSYSTEMS INC	ALLIANT TECHSYSTEMS	ALLIANT TECHSYSTEMS	259
ALLIED CAPITAL CORP NEW	ALLIED CAPITAL CORP	ALLIED CAPITAL	ALLIED CAPITAL CORP NEW	260
ALLIED DEFENSE GROUP INC	THE ALLIED DEFENSE GROUP INC.	THE ALLIED DEFENSE GROUP	ALLIED DEFENSE GROUP	261
ALLIED HEALTHCARE INTL INC	ALLIED HEALTHCARE INTL INC	ALLIED HEALTHCARE INTERNATIONAL	ALLIED HEALTHCARE INTERNATIONAL	262
ALLIED HEALTHCARE PRODUCTS INC	ALLIED HEALTHCARE PRODS INC	ALLIED HEALTHCARE PRODS	ALLIED HEALTHCARE PRODUCTS	263
ALLIED MOTION TECHNOLOGIES INC	ALLIED MOTION TECH	ALLIED MOTION TECHNOLOGY	ALLIED MOTION TECHNOLOGY	264
ALLIED NEVADA GOLD CORP	ALLIED NEVADA GOLD CORP	ALLIED NEVADA GOLD	ALLIED NEVADA GOLD	265
ALLION HEALTHCARE INC	ALLION HEALTHCARE INC	ALLION HEALTHCARE	ALLION HEALTHCARE	266
ALLIQUA BIOMEDICAL INC	ALLIQUA BIOMEDICAL INC	ALLIQUA BIOMEDICAL	ALLIQUA BIOMEDICAL	267
ALLIQUA INC	ALLIQUA INC	ALLIQUA	ALLIQUA	268
ALLIS CHALMERS ENERGY INC	ALLIS-CHALMERS CORP	ALLISCHALMERS	ALLIS CHALMERS ENERGY	269
ALLISON TRANSMISSION HLDGS INC	ALLISON TRANSMISSION HOLDNGS INC	ALLISON TRANSMISSION HOLDNGS	ALLISON TRANSMISSION HLDGS	270
ALLOGENE THERAPEUTICS INC	ALLOGENE THERAPEUTICS INC	ALLOGENE THERAPEUTICS	ALLOGENE THERAPEUTICS	271
ALLOS THERAPEUTICS	ALLOS THERAPEUTICS	ALLOS THERAPEUTICS	ALLOS THERAPEUTICS	272
ALLOY INC	ALLOY INC	ALLOY	ALLOY	273
ALLSCRIPTS HEALTHCARE SOLNS INC	ALLSCRIPTS-MISYS HEALTHCARE SOLU	ALLSCRIPTSMISYS HEALTHCARE SOLU	ALLSCRIPTS HEALTHCARE SOLNS	274
ALLSCRIPTS MISYS HEALTHCARE SOLS	ALLSCRIPTS-MISYS HEALTHCARE SOLU	ALLSCRIPTSMISYS HEALTHCARE SOLU	ALLSCRIPTS MISYS HEALTHCARE SOLS	275
ALLSTATE CORP	ALLSTATE CORP	ALLSTATE	ALLSTATE	276
ALLY FINANCIAL INC	ALLY FINANCIAL INC	ALLY FINANCIAL	ALLY FINANCIAL	277
ALMOST FAMILY INC	ALMOST FAMILY INC	ALMOST FAMILY	ALMOST FAMILY	278
ALNYLAM PHARMACEUTICALS INC	ALNYLAM PHARMACEUTICALS INC	ALNYLAM PHARMACEUTICALS	ALNYLAM PHARMACEUTICALS	279
ALON U S A ENERGY INC	ALON USA ENERGY INC	ALON USA ENERGY	ALON U S A ENERGY	280
ALPHA NATURAL RESOURCES INC	ALPHA NATURAL RESOURCES INC	ALPHA NATURAL RESOURCES	ALPHA NATURAL RESOURCES	281
ALPHA PRO TECH LTD	ALPHA PRO TECH LTD.	ALPHA PRO TECHNOLOGY	ALPHA PRO TECHNOLOGY	282
ALPHABET INC	ALPHABET INC	ALPHABET	ALPHABET	283
ALPHATEC HOLDINGS INC	ALPHATEC HOLDINGS INC	ALPHATEC HOLDINGS	ALPHATEC HOLDINGS	284
ALPINE IMMUNE SCIENCES INC	ALPINE IMMUNE SCIENCES INC	ALPINE IMMUNE SCIENCES	ALPINE IMMUNE SCIENCES	285
ALTA MESA RESOURCES INC	ALTA MESA RESOURCES INC	ALTA MESA RESOURCES	ALTA MESA RESOURCES	286
ALTAIR ENGINEERING INC	ALTAIR ENGINEERING INC	ALTAIR ENGINEERING	ALTAIR ENGINEERING	287
ALTAIR NANOTECHNOLOGIES INC	ALTAIR NANOTECHNOLOGIES INC	ALTAIR NANOTECHNOLOGIES	ALTAIR NANOTECHNOLOGIES	288
ALTERA CORP	ALTERA CORPORATION	ALTERA	ALTERA	289
ALTERYX INC	ALTERYX INC	ALTERYX	ALTERYX	290
ALTEVA	WARWICK VALLEY TELEPHONE CO	WARWICK VALLEY TELEPHONE	ALTEVA	291
ALTICE USA INC	ALTICE USA INC	ALTICE USA	ALTICE USA	292
ALTIGEN COMMUNICATIONS INC	ALTIGEN COMMUNICATIONS INC	ALTIGEN COMMUNICATIONS	ALTIGEN COMMUNICATIONS	293
ALTIMMUNE INC	ALTIMMUNE INC	ALTIMMUNE	ALTIMMUNE	294
ALTRA HOLDINGS INC	ALTRA HOLDINGS INC	ALTRA HOLDINGS	ALTRA HOLDINGS	295
ALTRA INDUSTRIAL MOTION CORP	ALTRA INDUSTRIAL MOTION CORP	ALTRA INDUSTRIAL MOTION	ALTRA INDUSTRIAL MOTION	296
ALTRIA GROUP INC	ALTRIA GROUP INC	ALTRIA GROUP	ALTRIA GROUP	297
ALTUS MIDSTREAM CO	ALTUS MIDSTREAM CO	ALTUS MIDSTREAM	ALTUS MIDSTREAM	298
AMALGAMATED BANK	AMALGAMATED BANK	AMALGAMATED BANK	AMALGAMATED BANK	299
AMAZON COM INC	AMAZON.COM INC.	AMAZONCOM	AMAZON COM	300
AMBAC FINANCIAL GROUP INC	AMBAC FINANCIAL GROUP INC	AMBAC FINANCIAL GROUP	AMBAC FINANCIAL GROUP	301
AMBASSADORS GROUP INC	AMBASSADOR GROUP INC	AMBASSADOR GROUP	AMBASSADORS GROUP	302
AMBASSADORS INTERNATIONAL INC	AMBASSADORS INTERNATIONAL	AMBASSADORS INTERNATIONAL	AMBASSADORS INTERNATIONAL	303
AMBER ROAD INC	AMBER ROAD INC	AMBER ROAD	AMBER ROAD	304
AMBIENT CORP	AMBIENT CORP	AMBIENT	AMBIENT	305
AMBIT BIOSCIENCES CORP	AMBIT BIOSCIENCES CORP	AMBIT BIOSCIENCES	AMBIT BIOSCIENCES	306
AMCOL INTERNATIONAL CORP	AMCOL INTERNATIONAL CORPORATION	AMCOL INTERNATIONAL	AMCOL INTERNATIONAL	307
AMCORE FINANCIAL INC	AMCORE FINANCIAL	AMCORE FINANCIAL	AMCORE FINANCIAL	308
AMEDICA CORP	AMEDICA CORP	AMEDICA	AMEDICA	309
AMEDISYS INC	AMEDISYS INC	AMEDISYS	AMEDISYS	310
AMERCO	AMERCO	AMERCO	AMERCO	311
AMEREN CORP	AMEREN CORP	AMEREN	AMEREN	312
AMERESCO INC	AMERESCO INC	AMERESCO	AMERESCO	313
AMERI HOLDINGS INC	AMERI HOLDINGS INC	AMERI HOLDINGS	AMERI HOLDINGS	314
AMERIANA BANCORP	AMERIANA BANCORP	AMERIANA BANK	AMERIANA BANK	315
AMERICA SERVICE GROUP INC	AMERICA SVC GROUP INC	AMERICA SERVICES GROUP	AMERICA SERVICES GROUP	316
AMERICAN AIRLINES GROUP INC	AMERICAN AIRLINES GROUP INC	AMERICAN AIRLINES GROUP	AMERICAN AIRLINES GROUP	317
AMERICAN APPAREL INC	AMERICAN APPAREL INC	AMERICAN APPAREL	AMERICAN APPAREL	318
AMERICAN AXLE & MFG HLGDS INC	AMERICAN AXLE & MFG HOLDINGS	AMERICAN AXLE  MFG HOLDINGS	AMERICAN AXLE  MFG HLGDS	319
AMERICAN CAPITAL LTD	AMERICAN CAPITAL LTD	AMERICAN CAPITAL	AMERICAN CAPITAL	320
AMERICAN CARESOURCE HOLDINGS INC	AMERICAN CARESOURCE HLDGS INC	AMERICAN CARESOURCE HLDGS	AMERICAN CARESOURCE HOLDINGS	321
AMERICAN COMMERCIAL LINES INC	AMERICAN COMMERCIAL LINES INC	AMERICAN COMMERCIAL LINES	AMERICAN COMMERCIAL LINES	322
AMERICAN D G ENERGY INC	AMERICAN DG ENERGY INC	AMERICAN DG ENERGY	AMERICAN D G ENERGY	323
AMERICAN DAIRY INC	AMERICAN DAIRY INC	AMERICAN DAIRY	AMERICAN DAIRY	324
AMERICAN DENTAL PARTNERS INC	AMERICAN DENTAL PARTNERS INC	AMERICAN DENTAL PARTNERS	AMERICAN DENTAL PARTNERS	325
AMERICAN EAGLE ENERGY CORP	AMERICAN EAGLE ENERGY CORP	AMERICAN EAGLE ENERGY	AMERICAN EAGLE ENERGY	326
AMERICAN EAGLE OUTFITTERS INC NE	AMERICAN EAGLE OUTFITTERS	AMERICAN EAGLE OUTFITTERS	AMERICAN EAGLE OUTFITTERS INC NE	327
AMERICAN ECOLOGY CORP	AMERICAN ECOLOGY CORPORATION	AMERICAN ECOLOGY	AMERICAN ECOLOGY	328
AMERICAN ELECTRIC POWER CO INC	AMERICAN ELEC PWR INC	AMERICAN ELEC PWR	AMERICAN ELECTRIC POWER CO	329
AMERICAN ELECTRIC TECHNOLS INC	AMERICAN ELECTRIC TECHNOLOGS INC	AMERICAN ELECTRIC TECHNOLOGS	AMERICAN ELECTRIC TECHNOLS	330
AMERICAN EQUITY INVT LIFE HLDG C	AMERICAN EQUITY INVT LIFE HOLDIN	AMERICAN EQUITY INVT LIFE HOLDIN	AMERICAN EQUITY INVT LIFE HLDG C	331
AMERICAN EXPRESS CO	AMER EXPRESS CO	AMER EXPRESS	AMERICAN EXPRESS	332
AMERICAN FINANCIAL GROUP INC NEW	AMERICAN FINANCIAL GROUP INC	AMERICAN FINANCIAL GROUP	AMERICAN FINANCIAL GROUP INC NEW	333
AMERICAN GREETINGS CORP	AMERICAN GREETINGS CORP	AMERICAN GREETINGS	AMERICAN GREETINGS	334
AMERICAN INDEPENDENCE CORP	AMERICAN INDEPENDENCE CORP	AMERICAN INDEPENDENCE	AMERICAN INDEPENDENCE	335
AMERICAN INTERNATIONAL GROUP INC	AMERICAN INTERNATIONAL GROUP	AMERICAN INTERNATIONAL GROUP	AMERICAN INTERNATIONAL GROUP	336
AMERICAN ITALIAN PASTA CO	AMERICAN ITALIAN PASTA CO	AMERICAN ITALIAN PASTA	AMERICAN ITALIAN PASTA	337
AMERICAN LEARNING CORP NY	AMERICAN LEARNING CORP	AMERICAN LEARNING	AMERICAN LEARNING CORP NY	338
AMERICAN LORAIN CORPORATION	AMERICAN LORAIN CORP	AMERICAN LORAIN	AMERICAN LORAIN	339
AMERICAN MEDICAL ALERT CORP	AMERICAN MEDICAL ALERT CORP	AMERICAN MEDICAL ALERT	AMERICAN MEDICAL ALERT	340
AMERICAN MEDICAL SYS HLDGS INC	AMERICAN MEDICAL SYS HLDG	AMERICAN MEDICAL SYS HLDG	AMERICAN MEDICAL SYS HLDGS	341
AMERICAN NATIONAL BANKSHARES INC	AMERICAN NATIONAL BANKSHARES	AMERICAN NATIONAL BANKSHARES	AMERICAN NATIONAL BANKSHARES	342
AMERICAN NATIONAL INS CO	AMER NATL INSUR	AMER NATL INSUR	AMERICAN NATIONAL INS	343
AMERICAN OIL & GAS INC	AMERICAN OIL & GAS INC	AMERICAN OIL  GAS	AMERICAN OIL  GAS	344
AMERICAN ORIENTAL BIOENGINRG INC	AMERICAN ORIENTAL BIOENGINEERING	AMERICAN ORIENTAL BIOENGINEERING	AMERICAN ORIENTAL BIOENGINRG	345
AMERICAN OUTDOOR BRANDS CORP	AMERICAN OUTDOOR BRANDS CORP	AMERICAN OUTDOOR BRANDS	AMERICAN OUTDOOR BRANDS	346
AMERICAN PACIFIC CORP	AMERICAN PACIFIC CORP	AMERICAN PACIFIC	AMERICAN PACIFIC	347
AMERICAN PHYSICIANS CAPITAL INC	AMERICAN PHYSICIANS CAPITAL INC.	AMERICAN PHYSICIANS CAPITAL	AMERICAN PHYSICIANS CAPITAL	348
AMERICAN PHYSICIANS SVC GROUP	AMERN PHYS SVCS	AMERN PHYS SERVICES	AMERICAN PHYSICIANS SERVICES GROUP	349
AMERICAN PUBLIC EDUCATION INC	AMERICAN PUBLIC EDUCATION INC	AMERICAN PUBLIC EDUCATION	AMERICAN PUBLIC EDUCATION	350
AMERICAN RAILCAR INDUSTRIES INC	AMERICAN RAILCAR INDUSTRIES INC	AMERICAN RAILCAR INDUSTRIES	AMERICAN RAILCAR INDUSTRIES	351
AMERICAN REALTY INVESTORS INC	AMERICAN REALTY INVESTORS INC.	AMERICAN REALTY INVESTORS	AMERICAN REALTY INVESTORS	352
AMERICAN RENAL ASSOCIATES	AMERICAN RENAL ASSOCIATES HOLDIN	AMERICAN RENAL ASSOCIATE HOLDIN	AMERICAN RENAL ASSOCIATE	353
AMERICAN REPROGRAPHICS CO	AMERICAN REPROGRAPHICS CO	AMERICAN REPROGRAPHICS	AMERICAN REPROGRAPHICS	354
AMERICAN RIVER BANKSHARES	AMERICAN RIVER BANKSHARES	AMERICAN RIVER BANKSHARES	AMERICAN RIVER BANKSHARES	355
AMERICAN SCIENCE & ENGR INC	AMER SCI & ENG	AMER SCI  ENG	AMERICAN SCIENCE  ENGR	356
AMERICAN SHARED HOSPITAL SVCS	AMERICAN SHARED	AMERICAN SHARED	AMERICAN SHARED HOSPITAL SERVICES	357
AMERICAN STATES WATER CO	AMERICAN STATES WATER COMPANY	AMERICAN STATES WATER	AMERICAN STATES WATER	358
AMERICAN SUPERCONDUCTOR CORP	AMERICAN SUPERCONDUCTOR CORP	AMERICAN SUPERCONDUCTOR	AMERICAN SUPERCONDUCTOR	359
AMERICAN TECHNOLOGY CORP	AMERICAN TECHNOLOGY CORP	AMERICAN TECHNOLOGY	AMERICAN TECHNOLOGY	360
AMERICAN TOWER CORP	AMERICAN TOWER CORP - CL A	AMERICAN TOWER CORP  CL A	AMERICAN TOWER	361
AMERICAN VANGUARD CORP	AMERICAN VANGAURD CORP	AMERICAN VANGAURD	AMERICAN VANGUARD	362
AMERICAN WATER WORKS CO INC	AMERICAN WATER WORKS COMPANY INC	AMERICAN WATER WORKS CO	AMERICAN WATER WORKS CO	363
AMERICAN WOODMARK CORP	AMERN WOODMARK	AMERN WOODMARK	AMERICAN WOODMARK	364
AMERICAS CAR MART INC	AMERICA'S CART-MART INC	AMERICAS CARTMART	AMERICAS CAR MART	365
AMERICREDIT CORP	AMERICREDIT CORP	AMERICREDIT	AMERICREDIT	366
AMERIGON INC	AMERIGON INC	AMERIGON	AMERIGON	367
AMERIGROUP CORP	AMERIGROUP	AMERIGROUP	AMERIGROUP	368
AMERIPRISE FINANCIAL INC	AMERIPRISE FINANCIAL INC	AMERIPRISE FINANCIAL	AMERIPRISE FINANCIAL	369
AMERIS BANCORP	AMERIS BANCORP	AMERIS BANK	AMERIS BANK	370
AMERISAFE INC	AMERISAFE INC	AMERISAFE	AMERISAFE	371
AMERISERV FINANCIAL INC	AMERISERV FINANCIAL INC	AMERISERV FINANCIAL	AMERISERV FINANCIAL	372
AMERISOURCEBERGEN CORP	AMERISOURCE BERGEN CORP	AMERISOURCE BERGEN	AMERISOURCEBERGEN	373
AMERISTAR CASINOS INC	AMERISTAR CASINOS INC.	AMERISTAR CASINOS	AMERISTAR CASINOS	374
AMERON INTERNATIONAL CORP DEL	AMERON INC	AMERON	AMERON INTERNATIONAL CORP DEL	375
AMES NATL CORP	AMES NATIONAL CORP	AMES NATIONAL	AMES NATL	376
AMETEK INC NEW	AMETEK INCORPORATED	AMETEK	AMETEK INC NEW	377
AMGEN INC	AMGEN INC	AMGEN	AMGEN	378
AMICAS INC	AMICAS INC	AMICAS	AMICAS	379
AMICUS THERAPEUTICS INC	AMICUS THERAPEUTICS INC	AMICUS THERAPEUTICS	AMICUS THERAPEUTICS	380
AMKOR TECHNOLOGY INC	AMKOR TECHNOLOGY INC	AMKOR TECHNOLOGY	AMKOR TECHNOLOGY	381
AMNEAL PHARMACEUTICALS INC	AMNEAL PHARMACEUTICALS INC	AMNEAL PHARMACEUTICALS	AMNEAL PHARMACEUTICALS	382
AMPAL AMERICAN ISRAEL CORP	AMPAL-AMERICAN ISRAEL CORP	AMPALAMERICAN ISRAEL	AMPAL AMERICAN ISRAEL	383
AMPCO PITTSBURGH CORP	AMPCO-PITTSBURGH CORP	AMPCOPITTSBURGH	AMPCO PITTSBURGH	384
AMPHASTAR PHARMACEUTICALS INC	AMPHASTAR PHARMACEUTICALS INC	AMPHASTAR PHARMACEUTICALS	AMPHASTAR PHARMACEUTICALS	385
AMPHENOL CORP NEW	AMPHENOL CORP	AMPHENOL	AMPHENOL CORP NEW	386
AMPIO PHARMACEUTICALS INC	AMPIO PHARMACEUTICALS INC	AMPIO PHARMACEUTICALS	AMPIO PHARMACEUTICALS	387
AMPLIFY SNACK BRANDS INC	AMPLIFY SNACK BRANDS INC	AMPLIFY SNACK BRANDS	AMPLIFY SNACK BRANDS	388
AMPLIPHI BIOSCIENCES CORP	AMPLIPHI BIOSCIENCES CORP	AMPLIPHI BIOSCIENCES	AMPLIPHI BIOSCIENCES	389
AMREP CORP	AMREP CORP	AMREP	AMREP	390
AMSURG CORP	AMSURG INC	AMSURG	AMSURG	391
AMTECH SYSTEMS INC	AMTECH SYS INC	AMTECH SYS	AMTECH SYSTEMS	392
AMTRUST FINANCIAL SERVICES INC	AMTRUST FINANCIAL SERVICES INC	AMTRUST FINANCIAL SERVICES	AMTRUST FINANCIAL SERVICES	393
AMYLIN PHARMACEUTICALS INC	AMYLIN PHARMACEUTICALS INC	AMYLIN PHARMACEUTICALS	AMYLIN PHARMACEUTICALS	394
AMYRIS INC	AMYRIS INC	AMYRIS	AMYRIS	395
ANACOR PHARMACEUTICALS INC	ANACOR PHARMACEUTICALS INC	ANACOR PHARMACEUTICALS	ANACOR PHARMACEUTICALS	396
ANADARKO PETROLEUM CORP	ANADARKO PETROLEUM CORP	ANADARKO PETROLEUM	ANADARKO PETROLEUM	397
ANADIGICS INC	ANADIGICS INC	ANADIGICS	ANADIGICS	398
ANADYS PHARMACEUTICALS INC	ANADYS PHARMACEUTICALS INC	ANADYS PHARMACEUTICALS	ANADYS PHARMACEUTICALS	399
ANALOG DEVICES INC	ANALOG DEVICES INC	ANALOG DEVICES	ANALOG DEVICES	400
ANALOGIC CORP	ANALOGIC CORPORATION	ANALOGIC	ANALOGIC	401
ANALYSTS INTERNATIONAL CORP	ANALYSTS INTERNATIONAL CORP	ANALYSTS INTERNATIONAL	ANALYSTS INTERNATIONAL	402
ANAPLAN INC	ANAPLAN INC	ANAPLAN	ANAPLAN	403
ANAPTYSBIO INC	ANAPTYSBIO INC	ANAPTYSBIO	ANAPTYSBIO	404
ANAREN INC	ANAREN MICROWAVE INC	ANAREN MICROWAVE	ANAREN	405
ANAVEX LIFE SCIENCES CORP	ANAVEX LIFE SCIENCES CORP	ANAVEX LIFE SCIENCES	ANAVEX LIFE SCIENCES	406
ANCESTRY COM INC	ANCESTRY.COM INC	ANCESTRYCOM	ANCESTRY COM	407
ANCHOR BANCORP WA	ANCHOR BANCORP	ANCHOR BANK	ANCHOR BANK WA	408
ANCHOR BANCORP WISCONSIN INC	ANCHOR BANCORP WISCONSIN	ANCHOR BANK WISCONSIN	ANCHOR BANK WISCONSIN	409
ANCHOR BANCORP WISCONSIN INC NEW	ANCHOR BANCORP WISCONSIN INC	ANCHOR BANK WISCONSIN	ANCHOR BANK WISCONSIN INC NEW	410
ANDATEE CHINA MARINE FUEL SVCS C	ANDATEE CHINA MARINE FUEL SERVIC	ANDATEE CHINA MARINE FUEL SERVICES	ANDATEE CHINA MARINE FUEL SERVICES C	411
ANDEAVOR	ANDEAVOR	ANDEAVOR	ANDEAVOR	412
ANDERSONS INC	ANDERSONS (THE)	ANDERSONS THE	ANDERSONS	413
ANGEION CORP	ANGEION CORP	ANGEION	ANGEION	414
ANGI HOMESERVICES INC	ANGI HOMESERVICES INC	ANGI HOMESERVICES	ANGI HOMESERVICES	415
ANGIES LIST INC	ANGIES LIST INC	ANGIES LIST	ANGIES LIST	416
ANGIODYNAMICS INC	ANGIODYNAMICS INC	ANGIODYNAMICS	ANGIODYNAMICS	417
ANIKA THERAPEUTICS INC	ANIKA THERAPEUTICS INC	ANIKA THERAPEUTICS	ANIKA THERAPEUTICS	418
ANIMAL HEALTH INTERNATIONAL INC	ANIMAL HEALTH INTERNATIONAL INC	ANIMAL HEALTH INTERNATIONAL	ANIMAL HEALTH INTERNATIONAL	419
ANIXA BIOSCIENCES INC	ANIXA BIOSCIENCES INC	ANIXA BIOSCIENCES	ANIXA BIOSCIENCES	420
ANIXTER INTERNATIONAL INC	ANIXTER INTERNATIONAL INC	ANIXTER INTERNATIONAL	ANIXTER INTERNATIONAL	421
ANN INC	ANN INC	ANN	ANN	422
ANNAPOLIS BANCORP INC	ANNAPOLIS BANCORP INC	ANNAPOLIS BANK	ANNAPOLIS BANK	423
ANNIES INC	ANNIE S INC	ANNIE S	ANNIES	424
ANNTAYLOR STORES CORP	ANNTAYLOR STORES CORP	ANNTAYLOR STORES	ANNTAYLOR STORES	425
ANSWERS CORP	ANSWERS CORP	ANSWERS	ANSWERS	426
ANSYS INC	ANSYS INC	ANSYS	ANSYS	427
ANTARES PHARMA INC	ANTARES PHARMA INC	ANTARES PHARMA	ANTARES PHARMA	428
ANTERO RESOURCES CORP	ANTERO RESOURCES CORP	ANTERO RESOURCES	ANTERO RESOURCES	429
ANTHEM INC	ANTHEM INC	ANTHEM	ANTHEM	430
ANTHERA PHARMACEUTICALS INC	ANTHERA PHARMACEUTICALS INC	ANTHERA PHARMACEUTICALS	ANTHERA PHARMACEUTICALS	431
ANTIGENICS INC DEL	ANTIGENICS	ANTIGENICS	ANTIGENICS INC DEL	432
AON CORP	AON CP	AON	AON	433
AOXING PHARMACEUTICAL CO INC	AOXING PHARMACEUTICAL CO INC	AOXING PHARMACEUTICAL CO	AOXING PHARMACEUTICAL CO	434
APACHE CORP	APACHE CORPORATION	APACHE	APACHE	435
APELLIS PHARMACEUTICALS INC	APELLIS PHARMACEUTICALS INC	APELLIS PHARMACEUTICALS	APELLIS PHARMACEUTICALS	436
APERGY CORP	APERGY CORP	APERGY	APERGY	437
APIGEE CORP	APIGEE CORP	APIGEE	APIGEE	438
APOGEE ENTERPRISES INC	APOGEE ENTERPRISES INC	APOGEE ENTERPRISES	APOGEE ENTERPRISES	439
APOLLO EDUCATION GROUP INC	APOLLO EDUCATION GROUP INC	APOLLO EDUCATION GROUP	APOLLO EDUCATION GROUP	440
APOLLO ENDOSURGERY INC	APOLLO ENDOSURGERY INC	APOLLO ENDOSURGERY	APOLLO ENDOSURGERY	441
APOLLO GLOBAL MANAGEMENT LLC	APOLLO GLOBAL MANAGEMENT LLC	APOLLO GLOBAL MANAGEMENT	APOLLO GLOBAL MANAGEMENT	442
APOLLO GROUP INC	APOLLO GROUP	APOLLO GROUP	APOLLO GROUP	443
APOLLO MEDICAL HOLDINGS INC	APOLLO MEDICAL HOLDINGS INC	APOLLO MEDICAL HOLDINGS	APOLLO MEDICAL HOLDINGS	444
APPFOLIO INC	APPFOLIO INC	APPFOLIO	APPFOLIO	445
APPIAN CORP	APPIAN CORP	APPIAN	APPIAN	446
APPLE INC	APPLE COMPUTER	APPLE COMPUTER	APPLE	447
APPLIANCE RECYCLING CTRS AMR INC	APPLIANCE RECYCLING CENTERS OF A	APPLIANCE RECYCLING CENTERS OF A	APPLIANCE RECYCLING CTRS AMR	448
APPLIED DNA SCIENCES INC	APPLIED DNA SCIENCES INC.	APPLIED DNA SCIENCES	APPLIED DNA SCIENCES	449
APPLIED ENERGETICS INC	APPLIED ENERGETICS INC	APPLIED ENERGETICS	APPLIED ENERGETICS	450
APPLIED GENETIC TECHNOLOGIES COR	APPLIED GENETIC TECHNOLOGIS CORP	APPLIED GENETIC TECHNOLOGIS	APPLIED GENETIC TECHNOLOGY COR	451
APPLIED INDUSTRIAL TECHS INC	APPLIED INDUSTRIAL TECHNOLOGY	APPLIED INDUSTRIAL TECHNOLOGY	APPLIED INDUSTRIAL TECHNOLOGY	452
APPLIED MATERIALS INC	APPLD MATERIALS	APPLD MATERIALS	APPLIED MATERIALS	453
APPLIED MICRO CIRCUITS CORP	APPLIED MICRO CIRCUITS CORP	APPLIED MICRO CIRCUITS	APPLIED MICRO CIRCUITS	454
APPLIED OPTOELECTRONICS INC	APPLIED OPTOELECTRONICS INC	APPLIED OPTOELECTRONICS	APPLIED OPTOELECTRONICS	455
APPLIED SIGNAL TECHNOLOGY	APPLIED SIGNAL TECHNOLOGY	APPLIED SIGNAL TECHNOLOGY	APPLIED SIGNAL TECHNOLOGY	456
APPROACH RESOURCES INC	APPROACH RESOURCES INC	APPROACH RESOURCES	APPROACH RESOURCES	457
APPTIO INC	APPTIO INC	APPTIO	APPTIO	458
APRICUS BIOSCIENCES INC	APRICUS BIOSCIENCES INC	APRICUS BIOSCIENCES	APRICUS BIOSCIENCES	459
APTARGROUP INC	APTARGROUP INC	APTARGROUP	APTARGROUP	460
APTEVO THERAPEUTICS INC	APTEVO THERAPEUTICS INC	APTEVO THERAPEUTICS	APTEVO THERAPEUTICS	461
APTINYX INC	APTINYX INC	APTINYX	APTINYX	462
AQUA AMERICA INC	AQUA AMERICA INC.	AQUA AMERICA	AQUA AMERICA	463
AQUA METALS INC	AQUA METALS INC	AQUA METALS	AQUA METALS	464
